feature,rf_importance,xgb_importance,avg_importance
tempo_0,0.023518952008363528,0.33210069076581433,0.17780982138708892
beat_count,0.030821663784442302,0.3054117723791437,0.168116718081793
onset_rate,0.018192523162106407,0.23964642259207639,0.1289194728770914
mfcc_std_5,0.008055292884093483,0.1282635397616435,0.0681594163228685
mfcc_mean_6,0.00730039984456817,0.11015319045294415,0.05872679514875616
energy_middle,0.0077946257846274545,0.09807853713970292,0.05293658146216519
mel_spec_std_0,0.007313136813752037,0.09782969477501782,0.05257141579438493
spectral_contrast_std_1,0.004026812823842116,0.08731733338738029,0.0456720731056112
mfcc_mean_19,0.00681623545308093,0.08359634355557236,0.04520628950432664
spectral_contrast_mean_0,0.004582419801728964,0.07704216497950256,0.04081229239061576
beat_regularity,0.005648912499440228,0.0747054624794559,0.04017718748944807
chroma_std_3,0.004436768519812399,0.0756493240848861,0.04004304630234925
mfcc_mean_10,0.0038026340972627474,0.07576951045881618,0.039786072278039465
spectral_contrast_mean_5,0.0032825683886382874,0.07437194748358293,0.03882725793611061
mfcc_std_2,0.0039196921999524,0.07120048436759548,0.03756008828377394
mfcc_mean_13,0.006250055425274029,0.06300779575990005,0.03462892559258704
chroma_mean_11,0.0033776902570567618,0.05997245174578645,0.031675071001421605
rms_delta_std,0.0019928094696322857,0.06104207673872059,0.03151744310417644
mel_spec_mean_8,0.0045572684515588656,0.056705396537753666,0.030631332494656265
chroma_std_5,0.003781987889947913,0.05615107994526625,0.02996653391760708
mfcc_std_6,0.0028442378351401527,0.05702191845259883,0.02993307814386949
mfcc_std_3,0.0045171360597340395,0.055227337066422806,0.029872236563078424
chroma_mean_5,0.0018355538608043705,0.0567683849314397,0.029301969396122035
mfcc_std_15,0.002380787463553646,0.056109104813499885,0.029244946138526767
chroma_std_8,0.0025686220121430006,0.05546048931269483,0.029014555662418916
mfcc_mean_18,0.002697511816112924,0.05492488980631937,0.02881120081121615
mfcc_std_8,0.006558428791237524,0.05042553337460214,0.028491981082919834
mfcc_std_11,0.004024223425691992,0.05120682259174911,0.027615523008720548
mfcc_mean_4,0.003356659071535976,0.05153552316848866,0.02744609112001232
mel_spec_mean_4,0.004860535314869178,0.049647857435047626,0.027254196374958402
mfcc_mean_16,0.0034835112719350356,0.050763793204995716,0.027123652238465377
mfcc_std_17,0.0029939863861670178,0.04651086176322265,0.024752424074694836
mfcc_mean_15,0.007617825808769208,0.04117574267597361,0.02439678424237141
zcr_mean,0.0019926384953948546,0.04659222938459028,0.02429243393999257
mfcc_std_18,0.0024941070926647975,0.04595862938599153,0.024226368239328163
rms_max,0.0021132898303970905,0.04597454217516563,0.02404391600278136
mel_spec_mean_12,0.0038941713056362052,0.04399870801717043,0.023946439661403317
mel_spec_mean_9,0.00453308477990831,0.04256395187059587,0.02354851832525209
onset_strength_std,0.004171226687154474,0.04289532850750468,0.023533277597329576
mfcc_std_10,0.0057092122835907585,0.041088356636464596,0.023398784460027678
chroma_std_1,0.00312313226891288,0.043332868425006214,0.023228000346959547
spectral_bandwidth_std,0.002342852016156581,0.044033966450528664,0.023188409233342623
mel_spec_mean_0,0.0034815262053926013,0.04288191195916046,0.023181719082276533
mfcc_mean_8,0.0032155777940630916,0.04297648247500712,0.023096030134535105
chroma_mean_0,0.003332156785637103,0.04215645891698924,0.02274430785131317
mel_spec_std_1,0.0036002959399671635,0.04175504711879925,0.022677671529383207
chroma_std_2,0.003095547356964376,0.042170868974856356,0.022633208165910367
mfcc_std_16,0.00155511427458489,0.04321708966215903,0.02238610196837196
mfcc_mean_17,0.003164501565177077,0.04148075746541673,0.022322629515296906
rms_mean,0.0023733399716298047,0.04166678364642642,0.022020061809028112
spectral_flatness_mean,0.0016450803440286503,0.04077423816885461,0.02120965925644163
spectral_contrast_std_2,0.0033156898104323056,0.03879626292142679,0.021055976365929548
spectral_centroid_std,0.002408377675107004,0.038741868285631594,0.020575122980369297
spectral_contrast_mean_2,0.0019824838640635075,0.037377049384469334,0.01967976662426642
mfcc_std_4,0.0017625000335298757,0.03732161968946457,0.01954205986149722
chroma_std_7,0.0020532394154537106,0.036949598738415676,0.019501419076934694
chroma_std_6,0.002034149003727448,0.03688809779387983,0.01946112339880364
spectral_contrast_mean_1,0.0036093771402455357,0.034611593508584934,0.019110485324415234
chroma_std_11,0.00259056872188622,0.03535839805210179,0.018974483386994003
chroma_std_10,0.0024144358562839027,0.035078925249928776,0.01874668055310634
mfcc_mean_14,0.0024204725747723715,0.034576407972384586,0.018498440273578477
chroma_std_0,0.0024540767601442036,0.03423976419832219,0.018346920479233197
mfcc_std_1,0.0035829494005708493,0.03174763191914694,0.017665290659858893
energy_end,0.002433549940845244,0.032481756399978294,0.017457653170411768
mfcc_mean_12,0.0018103402996873135,0.032967596357180315,0.017388968328433813
mel_spec_mean_72,0.0016494038876571095,0.03302871105684475,0.01733905747225093
mfcc_mean_2,0.0031006169650588194,0.031400723276998506,0.017250670121028662
mfcc_std_12,0.001713631430988001,0.032643398524008015,0.01717851497749801
dynamic_range,0.001698984443233874,0.03161578629673882,0.016657385369986347
mel_spec_mean_5,0.0029107748019530535,0.030379142093641513,0.016644958447797283
chroma_mean_7,0.0031054411363103914,0.02986514170400121,0.0164852914201558
spectral_contrast_std_5,0.0013683511007154836,0.03148302643305876,0.01642568876688712
mel_spec_mean_10,0.0022840029875968583,0.03012249155224047,0.016203247269918664
chroma_mean_2,0.0020206856674212935,0.029649940446357836,0.015835313056889566
spectral_rolloff_std,0.002741336995511542,0.028303739614784718,0.01552253830514813
spectral_contrast_mean_4,0.002063131195978532,0.028117892967367716,0.015090512081673123
chroma_mean_1,0.001872165223588368,0.028191125697710297,0.015031645460649333
mel_spec_mean_13,0.0016868698884953063,0.027951693373986265,0.014819281631240785
mfcc_std_7,0.0024816789810337527,0.026798671428960832,0.014640175204997292
mfcc_mean_1,0.001943754210811601,0.02691664140332829,0.014430197807069944
rms_std,0.003845066624318098,0.02461946349252354,0.01423226505842082
mel_spec_std_39,0.001044690713779923,0.027337056965651838,0.01419087383971588
mel_spec_mean_28,0.0014365499587534324,0.02679145245135508,0.014114001205054256
mfcc_mean_11,0.0025652027077090796,0.02562069867483594,0.014092950691272511
mel_spec_mean_3,0.0014277922203115552,0.026480694830586963,0.013954243525449259
spectral_bandwidth_mean,0.0009255210333257466,0.026885557602244346,0.013905539317785046
mfcc_mean_3,0.002296896353095992,0.025424527427689594,0.013860711890392794
energy_start,0.0016533542179592063,0.02553936635906046,0.013596360288509832
mfcc_std_13,0.0011598259590074565,0.025726677807555956,0.013443251883281706
mfcc_std_14,0.0009174100658735331,0.025771378772333264,0.013344394419103399
spectral_contrast_std_6,0.001754623545295378,0.02463296919383786,0.01319379636956662
spectral_contrast_mean_3,0.0012959891354584656,0.02503139991313219,0.013163694524295328
mel_spec_mean_7,0.0022277267517275745,0.024082933997058055,0.013155330374392815
mel_spec_std_103,0.0008030974321572703,0.025272454410283404,0.013037775921220338
chroma_mean_8,0.0010638321361882597,0.024834036065096207,0.012948934100642233
mel_spec_std_32,0.0008131896893350406,0.025036623997783117,0.012924906843559078
chroma_mean_4,0.0013841821192374427,0.024410629814321346,0.012897405966779395
spectral_contrast_std_0,0.0017545260539454412,0.024032354608855465,0.012893440331400453
mel_spec_mean_6,0.0015130734504564093,0.024185937786982817,0.012849505618719613
mel_spec_std_61,0.0007344356448611283,0.02491073610938408,0.012822585877122605
rms_delta_mean,0.0016014199835361884,0.023747680285437542,0.012674550134486866
mel_spec_std_12,0.0008269792264798206,0.02434393467212265,0.012585456949301235
chroma_mean_6,0.0012934376394360674,0.023721940307454628,0.012507688973445348
mel_spec_mean_1,0.0012767372993071034,0.023536075033586134,0.012406406166446619
mel_spec_std_5,0.0010076508381221692,0.023226397281343288,0.012117024059732728
mel_spec_mean_16,0.0015053038522194202,0.02246862514452501,0.011986964498372214
energy_increase_ratio,0.0011110986394550855,0.022845673840492964,0.011978386239974024
mel_spec_mean_19,0.00154882561945811,0.02233494780111042,0.011941886710284264
mfcc_std_19,0.001171174531802494,0.022339363328435204,0.01175526893011885
chroma_mean_9,0.0019606345383391052,0.020661376882344484,0.011311005710341795
mel_spec_std_17,0.00040931040725257825,0.02184279076755047,0.011126050587401523
onset_strength_mean,0.002148206715494182,0.019675933332605797,0.010912070024049989
mel_spec_std_118,0.0009757666929715823,0.020517624321986328,0.010746695507478955
mel_spec_mean_47,0.0010254675589859603,0.02038573420775885,0.010705600883372406
spectral_flatness_std,0.001856328208555823,0.019472090929577298,0.01066420956906656
mel_spec_mean_67,0.000133259095643307,0.020985521884127098,0.010559390489885202
chroma_mean_10,0.002189255051535673,0.018708647863770075,0.010448951457652874
mfcc_mean_7,0.0017208478017069302,0.019157075069167397,0.010438961435437164
mel_spec_mean_35,0.0016171233419476378,0.019220870030535894,0.010418996686241766
mel_spec_std_26,0.0006609346763801946,0.019906053531237623,0.010283494103808908
mel_spec_std_72,0.0007116833610709891,0.019784611819142647,0.010248147590106818
mel_spec_std_18,0.0003165914602199949,0.02005396436222575,0.010185277911222873
chroma_std_4,0.001715468154540306,0.018554206344891678,0.010134837249715992
mel_spec_std_109,0.0007109347840383529,0.01953273859213699,0.01012183668808767
mel_spec_std_20,0.00041937430439950487,0.019777583847330374,0.01009847907586494
mel_spec_mean_15,0.0011161034916210494,0.01891872485760938,0.010017414174615215
mel_spec_mean_53,0.0010312068619061415,0.018988765352828937,0.010009986107367539
mel_spec_std_29,0.0014844686600039901,0.018234578871422193,0.009859523765713092
mel_spec_mean_34,0.0030461618191440897,0.016487806315787813,0.009766984067465952
mel_spec_std_44,0.0009213939272518463,0.018396715929901056,0.009659054928576452
mel_spec_mean_17,0.0012073014982092387,0.018063117199662058,0.009635209348935648
spectral_contrast_mean_6,0.0016235873532675323,0.017556219615719536,0.009589903484493534
mel_spec_std_88,0.0011570322855633509,0.017989538101987404,0.009573285193775377
mel_spec_mean_31,0.0014995426904025825,0.01763815398920666,0.009568848339804622
mel_spec_std_46,0.0008761673364799126,0.018217596352439035,0.009546881844459475
mel_spec_mean_61,0.000723209676087271,0.018186729105020113,0.009454969390553692
mel_spec_std_6,0.0014876198085225347,0.01741006983105432,0.009448844819788428
mel_spec_std_45,0.0012291871574189423,0.0174928616986356,0.00936102442802727
chroma_mean_3,0.001790349337353815,0.016753389076753097,0.009271869207053456
mel_spec_mean_37,0.0003502047836857717,0.01809168238700791,0.009220943585346841
mel_spec_std_8,0.0009516602474443601,0.017428890251639215,0.009190275249541788
mel_spec_mean_65,0.0005660892390984229,0.017745813524181194,0.009155951381639809
mel_spec_mean_66,0.0009032509532374421,0.01738321332430298,0.00914323213877021
mel_spec_std_3,0.0006683614585340014,0.017364059066907925,0.009016210262720963
mel_spec_mean_91,0.000669469871617882,0.01715473932298747,0.008912104597302675
mel_spec_std_7,0.00044275338782106925,0.01734282359988852,0.008892788493854796
mel_spec_std_23,0.0010733072723156365,0.016641870712522756,0.008857588992419197
spectral_contrast_std_4,0.0012568646817751438,0.016318874433636665,0.008787869557705904
chroma_std_9,0.001329454212088628,0.01618497416546399,0.00875721418877631
mel_spec_mean_20,0.001829838766337684,0.015573830132118681,0.008701834449228183
mel_spec_mean_30,0.0007155081678578114,0.016508836510845205,0.008612172339351508
mel_spec_std_21,0.0008431711471453403,0.01633146113123406,0.0085873161391897
mel_spec_std_110,0.0008126170608235219,0.016285846348513256,0.008549231704668389
mel_spec_std_108,0.0012367458298132134,0.015799402555620127,0.00851807419271667
mel_spec_mean_115,0.0015041145910302638,0.015417267864739353,0.008460691227884808
zcr_std,0.0015005684314662792,0.015403334559364752,0.008451951495415515
mel_spec_std_13,0.0011665295105978885,0.01563580816780979,0.00840116883920384
mel_spec_mean_11,0.0010235923279164865,0.015522957906465639,0.008273275117191062
mel_spec_std_78,0.0011706928289222636,0.015223983950404958,0.00819733838966361
mel_spec_mean_33,0.001968187492390539,0.014331599528139288,0.008149893510264914
mel_spec_std_89,0.0010358946471594047,0.01517399184575135,0.008104943246455377
mfcc_mean_0,0.0008198693278027764,0.015259146267040209,0.008039507797421493
mel_spec_std_24,0.0008470488359833081,0.015122942499477755,0.00798499566773053
