feature,importance
mfcc_mean_2,0.02869831112860593
mel_spec_mean_72,0.02290370779781334
mel_spec_mean_55,0.01609083715525875
mel_spec_std_0,0.012891889555108083
chroma_std_1,0.011994719568821541
mel_spec_mean_73,0.011580222783973089
zcr_mean,0.00858093551228632
mel_spec_mean_51,0.008375670665686737
mel_spec_mean_63,0.008282898408013356
mel_spec_mean_71,0.008136210979384781
mfcc_std_7,0.007466367983092173
chroma_std_9,0.007298452859660402
mel_spec_mean_48,0.006889821216304065
mfcc_mean_10,0.006886172347520042
beat_regularity,0.006806781342225684
mel_spec_std_27,0.006498260606890464
mel_spec_mean_56,0.0063031647468807465
mfcc_mean_19,0.0062858576334093585
mfcc_std_18,0.006143525903246385
mfcc_std_6,0.0058926014830531755
spectral_contrast_std_4,0.005786551538292693
mel_spec_mean_69,0.005701236782664545
mel_spec_std_28,0.0053787729945243236
mel_spec_std_24,0.00513038891663779
mel_spec_mean_50,0.004968638795393568
mel_spec_mean_88,0.004913922244297866
chroma_std_2,0.004821138457565265
mel_spec_std_2,0.004687196220697157
mfcc_mean_14,0.0045301663552947645
mel_spec_std_104,0.004474904947684323
mfcc_mean_8,0.004228796242818089
chroma_std_6,0.00416435420725588
mel_spec_mean_22,0.004122628012398093
mel_spec_mean_81,0.004121801123455215
mel_spec_std_44,0.004066242540859537
mel_spec_mean_62,0.0040234425714309385
spectral_bandwidth_std,0.0040019934029298905
mfcc_std_8,0.003976724501674673
mfcc_std_3,0.0039049088407241213
mfcc_mean_4,0.0038632638402029346
mel_spec_mean_66,0.003847007915414254
spectral_contrast_std_0,0.0036186940997701917
chroma_std_7,0.0035597133808893105
mel_spec_mean_65,0.0034194661550530927
mel_spec_mean_108,0.0032891217802710417
mel_spec_mean_78,0.0032316794476212325
mel_spec_mean_52,0.0029893658440739144
mel_spec_std_103,0.0029887213720989885
mel_spec_std_45,0.002935944669432931
mfcc_mean_0,0.002779919709724616
mel_spec_std_25,0.00274095585257472
chroma_mean_1,0.002638791843656684
mel_spec_mean_10,0.0026343063534252204
beat_count,0.002630906079445712
mel_spec_mean_61,0.0025897035555541943
tempo_0,0.002570132453526068
mel_spec_std_23,0.002512739755508884
mel_spec_mean_77,0.002454916621353194
mel_spec_std_58,0.0024319260619301646
spectral_contrast_std_2,0.0024122629858293696
mel_spec_std_106,0.002361620659002995
mel_spec_mean_21,0.002326253747808775
mel_spec_std_102,0.002243375809807996
mel_spec_mean_87,0.0022243222996136784
mel_spec_std_68,0.0021900625720357044
mfcc_std_2,0.0021798374983766937
mel_spec_mean_0,0.0021414768780505787
zcr_std,0.0021022586532980117
mel_spec_mean_64,0.0021006754234308505
mfcc_mean_15,0.0020749923885784584
mfcc_std_19,0.002063195517955482
mel_spec_mean_23,0.0020287847128985536
mel_spec_mean_76,0.00201574334376831
mel_spec_mean_1,0.0019924657080176117
chroma_std_10,0.001984669545087661
mel_spec_mean_13,0.0019337392140834104
mel_spec_std_112,0.001930018240633149
mel_spec_mean_47,0.0018828697931020841
mel_spec_std_10,0.001869787358692603
mel_spec_mean_30,0.0018299847054241575
spectral_contrast_std_5,0.0017879931465337201
mel_spec_mean_31,0.0017580452734307342
mel_spec_std_40,0.0017055330802273282
mfcc_std_1,0.0016930330167764082
mel_spec_std_20,0.0016837021673741304
mel_spec_std_31,0.0016753574317419325
mel_spec_mean_29,0.0016662743964303605
chroma_mean_7,0.0016525258090378304
spectral_contrast_mean_4,0.0016443754737970131
chroma_std_8,0.0016328035644626456
mel_spec_mean_90,0.001632482056614299
chroma_mean_2,0.0016090554661599879
mel_spec_std_94,0.0015847505564041766
mel_spec_std_3,0.0015845416916723213
onset_rate,0.0015482545920374197
spectral_contrast_mean_5,0.0015347114026077466
mfcc_mean_12,0.0015033302610074973
mel_spec_mean_11,0.0015022763221318697
mel_spec_std_32,0.001469360688182931
mel_spec_mean_3,0.0014601644714350407
mfcc_mean_18,0.0014440232134935096
mel_spec_mean_6,0.001430473916678941
mel_spec_std_67,0.0014154841577171781
mel_spec_std_26,0.0013912244255072492
mel_spec_std_60,0.0013803749307441957
rms_delta_std,0.0013734411969602192
mel_spec_std_52,0.001363746580479935
rms_max,0.0013562430696896902
mel_spec_mean_40,0.0013480322512605433
mel_spec_mean_4,0.0013426356494429285
mfcc_mean_11,0.001318151494016027
chroma_mean_9,0.0013056328196737264
spectral_contrast_mean_1,0.0013006037345782361
mel_spec_std_93,0.0013005433515589368
mfcc_std_14,0.0012992232794969128
rms_delta_mean,0.0012896804671808705
mel_spec_std_4,0.001254160481324072
mel_spec_mean_32,0.001242395794832643
mfcc_mean_16,0.0012369763648773773
mel_spec_mean_14,0.001236872784416932
mel_spec_std_92,0.0012219071724868735
mel_spec_std_87,0.001169865042316082
mel_spec_std_85,0.0011488772051639908
mel_spec_std_30,0.0011394515025539864
mel_spec_mean_28,0.00113852600003315
mel_spec_std_15,0.0011284498479723873
mel_spec_mean_18,0.001125563630064554
spectral_contrast_std_1,0.0011174237765960242
spectral_contrast_mean_0,0.0010810406998470158
mfcc_std_4,0.0010757721437991178
mel_spec_mean_5,0.0010708957030673258
mel_spec_std_5,0.0010635238141559376
spectral_contrast_std_6,0.0010484448190210191
