feature,importance
energy_middle,0.10182393456059623
rms_std,0.030882342543488886
spectral_contrast_std_1,0.028774304310853906
mfcc_std_8,0.024102498675252226
tempo_0,0.02048279335138326
mfcc_mean_19,0.02003264577745689
rms_mean,0.015925942270903427
mfcc_std_5,0.012927772713460493
mfcc_std_11,0.011370035964484633
onset_strength_mean,0.010132791336249686
mel_spec_std_1,0.009529681394517335
energy_end,0.009038218558882911
mel_spec_mean_3,0.008558672086584198
mel_spec_std_100,0.008437793796761834
rms_max,0.007388726388271989
mfcc_std_6,0.007341906337439867
chroma_std_8,0.005931876594698172
mel_spec_std_2,0.005443154142922151
dynamic_range,0.004852766281352961
mel_spec_std_103,0.004771324161643506
mfcc_std_10,0.004578598850454461
mel_spec_std_97,0.004562148443082289
mfcc_mean_17,0.004380793917321485
mel_spec_std_91,0.004331748939315991
mel_spec_mean_2,0.004287273603986116
mel_spec_std_9,0.004123043059829015
spectral_contrast_mean_1,0.004018335787019516
mel_spec_std_123,0.003879164553535177
mel_spec_std_0,0.003839571444129675
onset_rate,0.003713739862493216
mel_spec_std_24,0.003712445188205119
beat_count,0.0035884450289131505
mel_spec_std_55,0.00351417339333783
mfcc_std_17,0.0035030540907440033
chroma_std_0,0.0034724631409689516
mel_spec_std_6,0.003429623191529884
mel_spec_std_121,0.003423494693158112
mel_spec_std_8,0.0034200799984117013
mel_spec_mean_4,0.0034098217593608073
mel_spec_std_114,0.0033695107520191957
mfcc_std_12,0.0032152149528704
mel_spec_std_90,0.0031587656949943915
mfcc_mean_15,0.00312745072101764
mel_spec_std_99,0.00304334502439524
mel_spec_mean_10,0.0029283791058057752
mel_spec_mean_24,0.0029015405376102226
mel_spec_std_23,0.0027882265212673956
spectral_rolloff_std,0.002711042923481828
mel_spec_std_122,0.002701391436115875
mel_spec_std_32,0.00269380728897397
chroma_mean_3,0.002565399900297358
mfcc_std_18,0.0025652813294733717
mfcc_mean_7,0.0023286780347099058
mel_spec_mean_116,0.0021778320640950147
mel_spec_mean_124,0.002049152323046689
mfcc_std_3,0.001993244569667895
mel_spec_std_86,0.00195794685861314
mel_spec_std_118,0.0019194741056892646
chroma_mean_11,0.001876385893179971
mel_spec_mean_25,0.001781589567330197
mfcc_mean_10,0.0017757083342640845
mfcc_std_4,0.0017096767423746696
mel_spec_mean_58,0.0016847205385476665
mel_spec_std_115,0.0016160057694290541
mfcc_mean_16,0.001607473787283991
mel_spec_std_119,0.0015839820084217607
