feature,importance
beat_count,0.12075232401653689
onset_strength_std,0.03702155880719661
tempo_0,0.034250951077752244
beat_regularity,0.0273405270225932
chroma_std_11,0.013701966304598101
mel_spec_std_112,0.013116212739996405
chroma_std_1,0.011678928965736145
mel_spec_mean_9,0.010085917392514443
mel_spec_mean_109,0.00836998813427559
mfcc_mean_8,0.007398503263503227
rms_delta_std,0.007334894496633196
mfcc_mean_6,0.007317266837255126
mel_spec_std_110,0.006178314164288895
mfcc_mean_4,0.006108390675062786
spectral_rolloff_std,0.006082487195469711
mfcc_mean_13,0.005982587383174521
mel_spec_mean_21,0.005771746312094126
chroma_mean_2,0.005494689027779846
mel_spec_mean_107,0.005158601962792652
rms_max,0.004934984826533424
spectral_contrast_std_1,0.004697723297771768
mfcc_mean_3,0.004120744817337161
mel_spec_mean_32,0.0040770666323605344
mfcc_std_8,0.0040230664216014175
mel_spec_mean_10,0.0038453046589378504
spectral_bandwidth_mean,0.003793068050613545
spectral_bandwidth_std,0.003697913444107462
dynamic_range,0.003594611474603404
mel_spec_mean_26,0.0035778002504074386
mfcc_std_2,0.0035100387753767537
energy_start,0.003490511658491232
spectral_flatness_mean,0.0034809803232769437
zcr_mean,0.0034495974466310043
mel_spec_mean_22,0.0029846687048380198
mel_spec_std_113,0.002934519806283251
spectral_contrast_std_2,0.002898769198584164
mel_spec_mean_125,0.0028854751578529236
mel_spec_std_29,0.0027770999337561105
rms_delta_mean,0.0026917943921526554
mel_spec_mean_29,0.0026714585976576784
chroma_std_3,0.002652557229759971
mfcc_mean_7,0.002650880191533844
mel_spec_std_105,0.0026302852948716098
mel_spec_mean_124,0.002628944344156299
mel_spec_std_25,0.002532335676708371
mfcc_mean_11,0.002466745553845854
mel_spec_mean_112,0.002427718975389867
chroma_mean_0,0.002401066362534112
mel_spec_mean_40,0.002373894662318667
spectral_contrast_mean_2,0.00234928959260193
mfcc_std_5,0.0023278464432143937
spectral_rolloff_mean,0.002317187025611029
mel_spec_mean_104,0.0022869288716172165
onset_strength_mean,0.0021461233683687437
mel_spec_std_3,0.002109422134296565
mfcc_mean_10,0.002072444163725235
spectral_flatness_std,0.002063381618023824
chroma_std_6,0.00198318669047069
mel_spec_std_4,0.0019465985060718688
chroma_mean_11,0.0018922208201898464
mfcc_mean_1,0.0018815416203930466
chroma_mean_4,0.0018572682602921134
mfcc_std_7,0.0018345803574839363
mfcc_std_16,0.001814438762952157
mel_spec_mean_15,0.0017786076747889278
mfcc_std_10,0.0017573448681199003
rms_mean,0.0017519357947367853
mfcc_mean_17,0.0017017873455560262
mel_spec_std_96,0.0017008968984798143
mel_spec_std_126,0.0016982304793584776
mel_spec_std_109,0.0016623242522097522
mfcc_mean_9,0.0016399134960619734
mel_spec_mean_30,0.0015994620818996054
mel_spec_std_101,0.001583597835159587
chroma_mean_5,0.001485835028454907
spectral_contrast_std_3,0.0014118687013718828
mfcc_std_6,0.0014095065112571662
mel_spec_mean_110,0.001395888026477702
mel_spec_std_0,0.0013946996142505416
mel_spec_mean_17,0.0013871951219512175
mel_spec_mean_31,0.001386054975941225
chroma_std_4,0.0013317407980545238
mfcc_std_14,0.0013242261573003285
mel_spec_std_107,0.001292691854371552
energy_increase_ratio,0.0012781688051681844
mel_spec_std_6,0.0012679645129458456
mel_spec_std_30,0.0012238630512300295
mfcc_std_17,0.0012235314041636174
mel_spec_mean_18,0.0012185733580717462
mel_spec_std_51,0.0012060977522337698
mel_spec_mean_28,0.001204955078359392
mel_spec_std_48,0.001203993676582226
chroma_std_7,0.001145803706762055
mfcc_std_12,0.001141900610774322
mel_spec_mean_126,0.0011384861996556648
mel_spec_mean_14,0.0011262499696125063
mel_spec_mean_61,0.0011008282860465691
mel_spec_mean_23,0.0010852281245270002
mel_spec_std_95,0.0010813541253063604
onset_rate,0.001081189084349782
energy_middle,0.001069928521549841
chroma_mean_1,0.0010660364349557422
chroma_mean_6,0.0010618605990337596
mel_spec_std_97,0.0010577025418734205
chroma_std_8,0.0010444693894820919
mel_spec_mean_19,0.0010190693549579292
mfcc_std_4,0.0009932628047947538
mfcc_mean_16,0.0009921619952622546
mel_spec_mean_43,0.0009420943298577665
mel_spec_std_75,0.0009402231512524123
mel_spec_mean_54,0.0009272128728007082
mel_spec_mean_53,0.0009229908747706488
mel_spec_mean_106,0.0009106419728517019
spectral_contrast_std_4,0.000908417117971072
mfcc_std_11,0.0008956271110692892
mel_spec_std_83,0.0008926561237412455
mel_spec_mean_8,0.0008474266102847128
spectral_contrast_mean_0,0.0008365169658009334
mel_spec_mean_7,0.0008313807922543169
mel_spec_std_26,0.0008301349016591991
mfcc_mean_18,0.0007670157059201832
mel_spec_mean_91,0.0007662881853831328
mel_spec_mean_118,0.000763676521400522
mel_spec_std_24,0.0007554207351599817
mel_spec_mean_12,0.0007516571564389066
mfcc_mean_5,0.0007451904288653115
spectral_centroid_mean,0.0007054394045807823
chroma_mean_7,0.0006996026513190275
mel_spec_std_12,0.0006919951346468185
spectral_centroid_std,0.0006740299900013066
mel_spec_std_16,0.0006725685356109658
mel_spec_std_62,0.0006658693763144146
mel_spec_std_115,0.0006585641838619566
mel_spec_std_47,0.000642888238608531
spectral_contrast_mean_1,0.0006408306107698849
mel_spec_mean_1,0.0006368861969451588
spectral_contrast_std_6,0.0006320081484421547
mel_spec_std_84,0.0006187023059488904
mel_spec_std_21,0.0006172328304032715
mel_spec_std_43,0.0006169117063429879
mel_spec_std_44,0.0006013972054899167
mfcc_mean_12,0.000556754762327809
mel_spec_std_106,0.0005358636534133521
mel_spec_mean_11,0.000513936337652231
mfcc_std_0,0.0005135268707574254
chroma_std_10,0.0005029717156595746
mel_spec_std_34,0.000478576348172431
mel_spec_mean_93,0.0004714866813539815
mfcc_mean_19,0.0004353430312522728
chroma_mean_3,0.0004273650991815793
mel_spec_mean_87,0.0004024701899932788
mel_spec_std_98,0.0003955104221512102
mfcc_std_1,0.0003852950462309232
spectral_contrast_std_5,0.0003810674976364163
rms_std,0.0003771718289960966
mel_spec_mean_120,0.00035487336330553357
mel_spec_std_5,0.0002907694395741438
chroma_mean_10,0.0002752891479476168
mel_spec_std_99,0.0002291716370167639
mel_spec_mean_115,0.00022767322400754725
mel_spec_mean_58,0.00022311683904642097
spectral_contrast_std_0,0.0001707745925430908
mel_spec_std_79,0.0001071058494080451
mel_spec_mean_0,0.0
mel_spec_mean_2,0.0
mel_spec_mean_3,0.0
mel_spec_mean_4,0.0
mel_spec_mean_5,0.0
mel_spec_mean_6,0.0
mel_spec_mean_13,0.0
mel_spec_mean_16,0.0
mel_spec_mean_20,0.0
mel_spec_mean_24,0.0
mel_spec_mean_25,0.0
mel_spec_mean_27,0.0
mel_spec_mean_33,0.0
mel_spec_mean_34,0.0
mel_spec_mean_35,0.0
mel_spec_mean_36,0.0
mel_spec_mean_37,0.0
mel_spec_mean_38,0.0
mel_spec_mean_39,0.0
mel_spec_mean_41,0.0
mel_spec_mean_42,0.0
mel_spec_mean_44,0.0
mel_spec_mean_45,0.0
mel_spec_mean_46,0.0
mel_spec_mean_47,0.0
mel_spec_mean_48,0.0
mel_spec_mean_49,0.0
mel_spec_mean_50,0.0
mel_spec_mean_51,0.0
mel_spec_mean_52,0.0
mel_spec_mean_55,0.0
mel_spec_mean_56,0.0
mel_spec_mean_57,0.0
mel_spec_mean_59,0.0
mel_spec_mean_60,0.0
mel_spec_mean_62,0.0
mel_spec_mean_63,0.0
mel_spec_mean_64,0.0
mel_spec_mean_65,0.0
mel_spec_mean_66,0.0
mel_spec_mean_67,0.0
mel_spec_mean_68,0.0
mel_spec_mean_69,0.0
mel_spec_mean_70,0.0
mel_spec_mean_71,0.0
mel_spec_mean_72,0.0
mel_spec_mean_73,0.0
mel_spec_mean_74,0.0
mel_spec_mean_75,0.0
mel_spec_mean_76,0.0
mel_spec_mean_77,0.0
mel_spec_mean_78,0.0
mel_spec_mean_79,0.0
mel_spec_mean_80,0.0
mel_spec_mean_81,0.0
mel_spec_mean_82,0.0
mel_spec_mean_83,0.0
mel_spec_mean_84,0.0
mel_spec_mean_85,0.0
mel_spec_mean_86,0.0
mel_spec_mean_88,0.0
mel_spec_mean_89,0.0
mel_spec_mean_90,0.0
mel_spec_mean_92,0.0
mel_spec_mean_94,0.0
mel_spec_mean_95,0.0
mel_spec_mean_96,0.0
mel_spec_mean_97,0.0
mel_spec_mean_98,0.0
mel_spec_mean_99,0.0
mel_spec_mean_100,0.0
mel_spec_mean_101,0.0
mel_spec_mean_102,0.0
mel_spec_mean_103,0.0
mel_spec_mean_105,0.0
mel_spec_mean_108,0.0
mel_spec_mean_111,0.0
mel_spec_mean_113,0.0
mel_spec_mean_114,0.0
mel_spec_mean_116,0.0
mel_spec_mean_117,0.0
mel_spec_mean_119,0.0
mel_spec_mean_121,0.0
mel_spec_mean_122,0.0
mel_spec_mean_123,0.0
mel_spec_mean_127,0.0
mel_spec_std_1,0.0
mel_spec_std_2,0.0
mel_spec_std_7,0.0
mel_spec_std_8,0.0
mel_spec_std_9,0.0
mel_spec_std_10,0.0
mel_spec_std_11,0.0
mel_spec_std_13,0.0
mel_spec_std_14,0.0
mel_spec_std_15,0.0
mel_spec_std_17,0.0
mel_spec_std_18,0.0
mel_spec_std_19,0.0
mel_spec_std_20,0.0
mel_spec_std_22,0.0
mel_spec_std_23,0.0
mel_spec_std_27,0.0
mel_spec_std_28,0.0
mel_spec_std_31,0.0
mel_spec_std_32,0.0
mel_spec_std_33,0.0
mel_spec_std_35,0.0
mel_spec_std_36,0.0
mel_spec_std_37,0.0
mel_spec_std_38,0.0
mel_spec_std_39,0.0
mel_spec_std_40,0.0
mel_spec_std_41,0.0
mel_spec_std_42,0.0
mel_spec_std_45,0.0
mel_spec_std_46,0.0
mel_spec_std_49,0.0
mel_spec_std_50,0.0
mel_spec_std_52,0.0
mel_spec_std_53,0.0
mel_spec_std_54,0.0
mel_spec_std_55,0.0
mel_spec_std_56,0.0
mel_spec_std_57,0.0
mel_spec_std_58,0.0
mel_spec_std_59,0.0
mel_spec_std_60,0.0
mel_spec_std_61,0.0
mel_spec_std_63,0.0
mel_spec_std_64,0.0
mel_spec_std_65,0.0
mel_spec_std_66,0.0
mel_spec_std_67,0.0
mel_spec_std_68,0.0
mel_spec_std_69,0.0
mel_spec_std_70,0.0
mel_spec_std_71,0.0
mel_spec_std_72,0.0
mel_spec_std_73,0.0
mel_spec_std_74,0.0
mel_spec_std_76,0.0
mel_spec_std_77,0.0
mel_spec_std_78,0.0
mel_spec_std_80,0.0
mel_spec_std_81,0.0
mel_spec_std_82,0.0
mel_spec_std_85,0.0
mel_spec_std_86,0.0
mel_spec_std_87,0.0
mel_spec_std_88,0.0
mel_spec_std_89,0.0
mel_spec_std_90,0.0
mel_spec_std_91,0.0
mel_spec_std_92,0.0
mel_spec_std_93,0.0
mel_spec_std_94,0.0
mel_spec_std_100,0.0
mel_spec_std_102,0.0
mel_spec_std_103,0.0
mel_spec_std_104,0.0
mel_spec_std_108,0.0
mel_spec_std_111,0.0
mel_spec_std_114,0.0
mel_spec_std_116,0.0
mel_spec_std_117,0.0
mel_spec_std_118,0.0
mel_spec_std_119,0.0
mel_spec_std_120,0.0
mel_spec_std_121,0.0
mel_spec_std_122,0.0
mel_spec_std_123,0.0
mel_spec_std_124,0.0
mel_spec_std_125,0.0
mel_spec_std_127,0.0
mfcc_mean_0,0.0
mfcc_mean_2,0.0
mfcc_mean_14,0.0
mfcc_mean_15,0.0
mfcc_std_3,0.0
mfcc_std_9,0.0
mfcc_std_13,0.0
mfcc_std_15,0.0
mfcc_std_18,0.0
mfcc_std_19,0.0
chroma_mean_8,0.0
chroma_mean_9,0.0
chroma_std_0,0.0
chroma_std_2,0.0
chroma_std_5,0.0
chroma_std_9,0.0
spectral_contrast_mean_3,0.0
spectral_contrast_mean_4,0.0
spectral_contrast_mean_5,0.0
spectral_contrast_mean_6,0.0
zcr_std,0.0
energy_end,0.0
