feature,importance
mel_spec_std_0,0.04544685910656292
mel_spec_std_1,0.037261265772568386
mfcc_std_3,0.02325668888674615
chroma_mean_11,0.018423405803048878
mfcc_std_2,0.017323290014249485
energy_middle,0.015667992158320723
mfcc_mean_13,0.014535340375285866
chroma_std_10,0.011774635673829555
mel_spec_mean_88,0.009892632840274293
mel_spec_mean_92,0.009831375697648893
zcr_mean,0.009495156790562282
chroma_std_5,0.009175795155383916
mel_spec_std_86,0.009141856277480334
dynamic_range,0.008861319421907583
mel_spec_mean_66,0.008853347668120357
chroma_mean_1,0.008558812519606102
mel_spec_mean_90,0.007740640976513444
rms_std,0.007381426237754036
mel_spec_mean_24,0.007340705424666637
mel_spec_std_2,0.007186980934883869
mel_spec_mean_86,0.007164850256832295
mfcc_mean_17,0.0064212573235014735
mel_spec_mean_23,0.005985768760953074
spectral_contrast_std_2,0.0058444871758176
mel_spec_mean_85,0.0057917443836163415
spectral_contrast_mean_5,0.005467781276914101
mel_spec_mean_29,0.005095253151722164
rms_mean,0.005083313369234041
chroma_std_8,0.005029272939880322
spectral_contrast_std_5,0.004827327868051398
chroma_mean_4,0.004794620040215831
spectral_contrast_mean_4,0.004504423030954369
chroma_std_7,0.004485507941147951
mel_spec_mean_89,0.004472688757353206
mel_spec_mean_25,0.004269538111742782
mel_spec_mean_84,0.004068596270475052
mel_spec_std_6,0.003866820748766786
mel_spec_std_44,0.003672801604855021
mel_spec_mean_44,0.0035889551014405456
mel_spec_mean_6,0.003549041271046331
mfcc_std_5,0.003540423665322314
mel_spec_std_45,0.0034431224338856677
mel_spec_std_87,0.0034175669891944615
onset_rate,0.0031932554106802362
mel_spec_mean_5,0.0031899839782030693
chroma_std_0,0.0031117503580346834
mfcc_std_12,0.003045267873968612
chroma_std_1,0.0030301100228043954
rms_max,0.002953629767731336
mel_spec_mean_106,0.0028398416992573223
mel_spec_mean_15,0.0028001706159675377
spectral_flatness_mean,0.0027696483830531556
mel_spec_mean_60,0.0026574242752822317
mel_spec_mean_70,0.002615150107714766
chroma_mean_9,0.002586045892159151
mfcc_mean_19,0.0025382677706026354
mel_spec_mean_10,0.002511107058436392
mel_spec_mean_51,0.0024911228816701697
mel_spec_mean_28,0.0024800946645014894
