feature,importance
tempo_0,0.1205058582844026
mfcc_mean_6,0.0959832510146967
spectral_rolloff_std,0.02779606042582502
spectral_bandwidth_std,0.025422522548871656
mel_spec_mean_9,0.021808878446582875
spectral_contrast_std_2,0.015196430221756237
chroma_std_11,0.01354808378810066
mfcc_mean_3,0.01143559972798344
spectral_contrast_std_0,0.010034511266435201
chroma_std_10,0.008827352492985902
mfcc_mean_2,0.008714113120542304
mfcc_mean_8,0.007510602368785369
mel_spec_mean_10,0.006864530742521722
spectral_contrast_mean_4,0.006319388740417042
mfcc_mean_12,0.005437495235477433
mel_spec_mean_12,0.005014126689844278
mel_spec_mean_27,0.004754989366278103
rms_mean,0.004550773284987202
mel_spec_mean_8,0.004453704395592245
chroma_std_8,0.004433884151816976
chroma_std_1,0.0043920353736150225
onset_strength_std,0.004194195032921198
energy_end,0.00417494921104167
mel_spec_std_105,0.004159836593691307
mel_spec_std_67,0.00411056046540868
mel_spec_mean_16,0.004039112390782435
mel_spec_mean_18,0.004022716605170896
mel_spec_mean_7,0.003709341021583603
spectral_flatness_std,0.0035380742448238196
mel_spec_std_110,0.0034268063656660063
mel_spec_mean_15,0.0033814197662849566
mel_spec_mean_119,0.0031866225250948405
mel_spec_std_109,0.003024517971164637
mel_spec_std_113,0.0030109363661173167
beat_count,0.0029765675570310067
spectral_contrast_mean_6,0.0028809947061751
mfcc_std_13,0.0027491305241705544
mel_spec_mean_19,0.002627486137041575
mfcc_mean_11,0.0025839367633669692
mfcc_mean_10,0.002566879612307153
mel_spec_mean_79,0.0023901451017926015
mel_spec_mean_71,0.0022885310435937943
mel_spec_std_112,0.0022518186164923316
mel_spec_mean_37,0.002090589583875531
mel_spec_std_66,0.002026049919387164
mfcc_std_10,0.0020076754705026668
mfcc_std_2,0.0020022106166970016
zcr_std,0.001993280023271669
mel_spec_mean_11,0.0019625218840813082
mel_spec_mean_52,0.0019488780063260268
chroma_mean_0,0.0019344739088354285
spectral_contrast_mean_5,0.0018767955463888492
chroma_mean_9,0.0018588808406389964
chroma_mean_5,0.0018496590176882066
mel_spec_mean_124,0.0018466202460529673
mel_spec_mean_120,0.0018263227426016887
mel_spec_mean_13,0.0018210748610065675
mel_spec_std_117,0.0017884954902294755
zcr_mean,0.0017863768604455047
mel_spec_mean_77,0.0017465703361582473
chroma_mean_10,0.0017445685578168241
mel_spec_std_79,0.0017268886879452236
chroma_mean_11,0.0017063811379920692
energy_middle,0.0016019814241486074
mel_spec_std_62,0.0015831652728221456
mfcc_mean_1,0.0015077401424947556
mfcc_std_8,0.001458185862387182
mfcc_std_5,0.0014369245544715954
rms_delta_mean,0.0014365767835592222
mfcc_std_4,0.0014199466866866852
energy_start,0.0012801630295878092
rms_std,0.0012774664614372524
chroma_std_3,0.0012562902140432297
rms_max,0.0011965716783803996
mfcc_std_3,0.0011064451307733027
onset_strength_mean,0.0010812044886269233
mfcc_mean_9,0.0010764624002716006
mel_spec_mean_70,0.0010582489560680504
mel_spec_mean_56,0.001006079221692523
spectral_contrast_std_6,0.0010056971186449932
mel_spec_std_56,0.000988460113967655
chroma_std_9,0.0009574922472786633
mel_spec_mean_114,0.0009314763518636208
mel_spec_mean_84,0.0009165085079319344
mel_spec_std_21,0.0008704650056900159
mel_spec_mean_118,0.0008492495169422452
chroma_mean_4,0.00041861224612866417
mel_spec_mean_0,0.0
mel_spec_mean_1,0.0
mel_spec_mean_2,0.0
mel_spec_mean_3,0.0
mel_spec_mean_4,0.0
mel_spec_mean_5,0.0
mel_spec_mean_6,0.0
mel_spec_mean_14,0.0
mel_spec_mean_17,0.0
mel_spec_mean_20,0.0
mel_spec_mean_21,0.0
mel_spec_mean_22,0.0
mel_spec_mean_23,0.0
mel_spec_mean_24,0.0
mel_spec_mean_25,0.0
mel_spec_mean_26,0.0
mel_spec_mean_28,0.0
mel_spec_mean_29,0.0
mel_spec_mean_30,0.0
mel_spec_mean_31,0.0
mel_spec_mean_32,0.0
mel_spec_mean_33,0.0
mel_spec_mean_34,0.0
mel_spec_mean_35,0.0
mel_spec_mean_36,0.0
mel_spec_mean_38,0.0
mel_spec_mean_39,0.0
mel_spec_mean_40,0.0
mel_spec_mean_41,0.0
mel_spec_mean_42,0.0
mel_spec_mean_43,0.0
mel_spec_mean_44,0.0
mel_spec_mean_45,0.0
mel_spec_mean_46,0.0
mel_spec_mean_47,0.0
mel_spec_mean_48,0.0
mel_spec_mean_49,0.0
mel_spec_mean_50,0.0
mel_spec_mean_51,0.0
mel_spec_mean_53,0.0
mel_spec_mean_54,0.0
mel_spec_mean_55,0.0
mel_spec_mean_57,0.0
mel_spec_mean_58,0.0
mel_spec_mean_59,0.0
mel_spec_mean_60,0.0
mel_spec_mean_61,0.0
mel_spec_mean_62,0.0
mel_spec_mean_63,0.0
mel_spec_mean_64,0.0
mel_spec_mean_65,0.0
mel_spec_mean_66,0.0
mel_spec_mean_67,0.0
mel_spec_mean_68,0.0
mel_spec_mean_69,0.0
mel_spec_mean_72,0.0
mel_spec_mean_73,0.0
mel_spec_mean_74,0.0
mel_spec_mean_75,0.0
mel_spec_mean_76,0.0
mel_spec_mean_78,0.0
mel_spec_mean_80,0.0
mel_spec_mean_81,0.0
mel_spec_mean_82,0.0
mel_spec_mean_83,0.0
mel_spec_mean_85,0.0
mel_spec_mean_86,0.0
mel_spec_mean_87,0.0
mel_spec_mean_88,0.0
mel_spec_mean_89,0.0
mel_spec_mean_90,0.0
mel_spec_mean_91,0.0
mel_spec_mean_92,0.0
mel_spec_mean_93,0.0
mel_spec_mean_94,0.0
mel_spec_mean_95,0.0
mel_spec_mean_96,0.0
mel_spec_mean_97,0.0
mel_spec_mean_98,0.0
mel_spec_mean_99,0.0
mel_spec_mean_100,0.0
mel_spec_mean_101,0.0
mel_spec_mean_102,0.0
mel_spec_mean_103,0.0
mel_spec_mean_104,0.0
mel_spec_mean_105,0.0
mel_spec_mean_106,0.0
mel_spec_mean_107,0.0
mel_spec_mean_108,0.0
mel_spec_mean_109,0.0
mel_spec_mean_110,0.0
mel_spec_mean_111,0.0
mel_spec_mean_112,0.0
mel_spec_mean_113,0.0
mel_spec_mean_115,0.0
mel_spec_mean_116,0.0
mel_spec_mean_117,0.0
mel_spec_mean_121,0.0
mel_spec_mean_122,0.0
mel_spec_mean_123,0.0
mel_spec_mean_125,0.0
mel_spec_mean_126,0.0
mel_spec_mean_127,0.0
mel_spec_std_0,0.0
mel_spec_std_1,0.0
mel_spec_std_2,0.0
mel_spec_std_3,0.0
mel_spec_std_4,0.0
mel_spec_std_5,0.0
mel_spec_std_6,0.0
mel_spec_std_7,0.0
mel_spec_std_8,0.0
