feature,importance
beat_count,0.05136118487420462
mfcc_mean_13,0.04996246673580966
tempo_0,0.04388025997010334
mfcc_std_8,0.0366400517568331
spectral_contrast_mean_1,0.03598303743730343
spectral_contrast_std_2,0.030030048449707976
mel_spec_mean_9,0.022214584966429425
mfcc_std_10,0.018545854486908302
chroma_mean_0,0.011318145072090606
spectral_contrast_mean_0,0.010021325295060238
chroma_std_11,0.00915928671893522
mfcc_mean_18,0.008097811238784721
beat_regularity,0.008057378005189885
mfcc_mean_16,0.008046893156003767
mfcc_std_4,0.006800670057205595
energy_start,0.006739939024341296
chroma_std_6,0.0063551503102115756
chroma_std_1,0.0063442459004209185
mfcc_std_5,0.006205871205592474
chroma_mean_5,0.005949246958561181
mfcc_mean_7,0.005011905595948595
mel_spec_mean_8,0.0044250357436479894
mel_spec_mean_16,0.004292282046874315
spectral_contrast_mean_2,0.004242510793780169
mfcc_std_16,0.003952360220891154
chroma_mean_3,0.003874580656534922
mfcc_std_15,0.003796496698270141
mel_spec_mean_32,0.0037271646223835924
mel_spec_mean_21,0.003486465614224774
mfcc_std_19,0.003471784765209402
mfcc_mean_6,0.0032252335507971714
mel_spec_mean_6,0.003175190742036108
mel_spec_std_16,0.0031559836030452936
mfcc_mean_9,0.003112383685790794
mel_spec_std_0,0.00304771543172673
mfcc_std_7,0.0030049308431525363
zcr_std,0.002702373861140177
mfcc_mean_3,0.002694354996355179
spectral_contrast_std_6,0.0025885660639152147
chroma_mean_4,0.0025876572978745637
mel_spec_mean_69,0.0025631868778078276
chroma_mean_2,0.002548519492111145
mel_spec_mean_18,0.0025017041567276495
chroma_std_4,0.0024111988917498127
mel_spec_mean_59,0.0023864502076645982
mel_spec_mean_7,0.0023821819825499387
mel_spec_std_2,0.0022043779869734327
mel_spec_mean_4,0.002172778253911004
mel_spec_std_99,0.002089137848897393
mel_spec_mean_78,0.002044113962177954
mel_spec_mean_19,0.0020438485084362775
mel_spec_std_69,0.0020213916751033968
onset_strength_mean,0.0020024597754192543
mfcc_mean_17,0.0019153530635991711
chroma_std_9,0.0019125374826234765
mfcc_std_18,0.0019033078578889902
mfcc_std_17,0.0018881193442987594
mfcc_mean_14,0.001870656142216711
mfcc_mean_2,0.0018531725066835436
mfcc_mean_11,0.0018080430332548978
mel_spec_mean_23,0.0017591748041232349
mel_spec_std_17,0.001751139030143396
mel_spec_std_119,0.0016652098990633283
rms_std,0.0016441737515418165
mel_spec_mean_116,0.0016359255603038319
mfcc_mean_1,0.0016121806686005804
rms_delta_mean,0.0016098567891187387
spectral_centroid_std,0.0016095059689855316
onset_strength_std,0.0015137232974691064
mel_spec_std_115,0.0015129210743774501
mfcc_mean_4,0.001508949898977631
mel_spec_std_13,0.001473339167198602
mel_spec_std_82,0.0014385650741169493
chroma_mean_10,0.0014359148802180993
onset_rate,0.0013767114167467839
mel_spec_std_120,0.001362828927369984
spectral_contrast_std_0,0.0013320790957796478
mel_spec_std_1,0.0013288878299827249
mel_spec_std_105,0.0013227544540614436
spectral_contrast_mean_4,0.001300544313775329
mel_spec_mean_110,0.0012093106818816314
chroma_mean_8,0.001192838148193484
mel_spec_std_95,0.001172527304991639
mfcc_mean_10,0.0011454587148767995
mel_spec_std_84,0.0011053708463023735
chroma_mean_7,0.0010997511773139738
chroma_std_0,0.0010456048026629445
mfcc_mean_5,0.0010420302126668917
mfcc_mean_15,0.001013357139759098
mfcc_std_14,0.0009970902940601876
mel_spec_mean_22,0.000964155202618475
chroma_mean_6,0.0009180459320296522
mel_spec_mean_111,0.0009089929093740324
spectral_flatness_std,0.0009012868563377713
mfcc_mean_12,0.0008800503505344429
mel_spec_std_60,0.0008733548758171483
zcr_mean,0.0008686948424623595
mel_spec_std_28,0.000852139920096401
mel_spec_mean_0,0.0008410000033217392
mel_spec_mean_86,0.0007909642815485554
chroma_mean_9,0.0007856397180415819
spectral_flatness_mean,0.0007794756183514391
mel_spec_mean_114,0.0007370336408895415
mel_spec_mean_29,0.000728256623797688
mfcc_std_11,0.0007162634415477597
mel_spec_mean_125,0.000651848262453315
mel_spec_std_73,0.0006406253934430944
mel_spec_mean_76,0.0006391843241309414
chroma_std_8,0.0006334821487824621
spectral_centroid_mean,0.0006304028227292076
mel_spec_std_89,0.0006010208208083611
mel_spec_std_55,0.0005857846888035298
mel_spec_mean_12,0.0005613068896762939
mel_spec_mean_112,0.0005545456421447772
mfcc_std_2,0.0005533453194560869
mel_spec_std_75,0.0005349966656019498
mel_spec_mean_20,0.0005308828348568043
mel_spec_mean_94,0.0005200547380473954
mel_spec_std_21,0.0005116345172248513
mel_spec_mean_71,0.0005084319584314198
mel_spec_std_11,0.0005065748865782849
mel_spec_std_6,0.00048513017061398053
mel_spec_std_41,0.00045266714286891686
mel_spec_mean_2,0.0004503346525933773
mel_spec_mean_58,0.0004480090872036419
mel_spec_mean_5,0.0004467190133432632
mfcc_std_13,0.00042195508402650695
mel_spec_std_109,0.00040759461906331775
mel_spec_std_25,0.0003894127358262998
mel_spec_std_23,0.00036081231687744167
mel_spec_mean_117,0.00034331704038666395
mel_spec_mean_118,0.0003373728820122143
mel_spec_mean_57,0.0003314136345432905
mel_spec_mean_15,0.000277835055082065
chroma_std_10,0.0002628071947067591
mel_spec_std_7,0.00025828542543080053
spectral_contrast_mean_6,0.0001997539974581528
mel_spec_mean_55,0.00013292500334124736
mel_spec_mean_1,0.0
mel_spec_mean_3,0.0
mel_spec_mean_10,0.0
mel_spec_mean_11,0.0
mel_spec_mean_13,0.0
mel_spec_mean_14,0.0
mel_spec_mean_17,0.0
mel_spec_mean_24,0.0
mel_spec_mean_25,0.0
mel_spec_mean_26,0.0
mel_spec_mean_27,0.0
mel_spec_mean_28,0.0
mel_spec_mean_30,0.0
mel_spec_mean_31,0.0
mel_spec_mean_33,0.0
mel_spec_mean_34,0.0
mel_spec_mean_35,0.0
mel_spec_mean_36,0.0
mel_spec_mean_37,0.0
mel_spec_mean_38,0.0
mel_spec_mean_39,0.0
mel_spec_mean_40,0.0
mel_spec_mean_41,0.0
mel_spec_mean_42,0.0
mel_spec_mean_43,0.0
mel_spec_mean_44,0.0
mel_spec_mean_45,0.0
mel_spec_mean_46,0.0
mel_spec_mean_47,0.0
mel_spec_mean_48,0.0
mel_spec_mean_49,0.0
mel_spec_mean_50,0.0
mel_spec_mean_51,0.0
mel_spec_mean_52,0.0
mel_spec_mean_53,0.0
mel_spec_mean_54,0.0
mel_spec_mean_56,0.0
mel_spec_mean_60,0.0
mel_spec_mean_61,0.0
mel_spec_mean_62,0.0
mel_spec_mean_63,0.0
mel_spec_mean_64,0.0
mel_spec_mean_65,0.0
mel_spec_mean_66,0.0
